,buyerName,rating,reviewContent,reviewTime
1,*********465,5,ok  dengan harga segitu ,21 Des 2023
2,Dhika D.,5,Rancangan:bagus ,"1  minggu lalu
"
3,8***8,5,"Pas sempurna dengan desain high waist.,  ",30 Nov 2023
4,Lina,5,Bahan:  good  ,30 Des 2023
5,NISA S.,5,"Bagus untuk aktivitas di luar ruangan.,  ","2  minggu lalu
"
6,N***i,5,"ukuran jumbo,,,sesuai mksih,, ","3  minggu lalu
"
7,AHMAD Z.,5,Alhamdulillah...nyampek juga bhnnya crinkle tpi lumayan bagus ,11 Jan 2024
8,*********649,5,baguss barang sesuai respons penjual cepatt dan barangnya orii juga terimakasih 🌷🌷 ,21 Des 2023
9,0***1,5,Bagus bngt ,28 Des 2023
10,Adah E.,5,UK standar masih longgar di aku yang BB nya 60 ,"2  minggu lalu
"
11,Third-Party-User,5,keren clanay bgus amah walaupun hitamy bukan hitam pekat TPI sya ska ,15 Des 2023
12,niaaaa,5,terlalu cintahh dengan ini produkk🥰 ,10 Nov 2023
13,Siti M.,5,celana ny kegedean tapi gapapa bagus banget celananya aku suka😻 ,08 Des 2023
14,Th A.,5,clna nya kecil ,21 Des 2023
15,Eceu N.,5,"pket ny udah sampai,celana ny bagus dengan harga segitu,mksh lazada,mksh buat kurir ny ",13 Jan 2024
16,Siti A.,5,"Desain highwaist sedang trendi., Celana kargo yang stylish dan modis.,  ","1  minggu lalu
"
17,guest,5,celananya bagus panjangx sesuai dan kain tebal clanax agak gombrang d aku tapi suka cantik sekali next order lagi ,19 Des 2023
18,8***9,5,"Celana kargo serbaguna untuk berbagai acara.,  ","3  minggu lalu
"
19,*********332,5,bagus banget gak nyesel belanja di tokoh ini Nex order lagi,11 Des 2023
20,Ryan K.,5,"Bahan:ADEM BAGUS
 Ukuran:PAS BGET
 Rancangan:
BAGUS BANGET DEH POKOKNYA.. MAAF YAH GAK SEMPAT FOTO ",30 Des 2023
21,Mamahdzakirah,5,Alhamdulillah paket udh mendarat tp kegedean tp anak saya suka trimakasih lazadah ,29 Des 2023
22,8***9,5,"Bagus untuk aktivitas di luar ruangan.,  ","3  minggu lalu
"
23,s***.,5,"BAGUSSSS BANGETTTT
 Bahan:  lembut ",17 Des 2023
24,siti S.,5,clna bagus tpi buat BB 60 kekecilan  ,16 Des 2023
25,Dedeh W.,5,"Celana kargo yang stylish dan modis., Pas sempurna dengan desain high waist., Kain nyaman dan bernapas., Celana kargo serbaguna untuk berbagai acara., ",26 Des 2023
26,sitinuryeni,5,bgus poll... ,07 Des 2023
27,0***2,5,"buaguseeee polll mantappp,mau beli lagih semoga ga naik harganyaaa🥲 ",20 Des 2023
28,Sinta B.,5,"Celana kargo yang trendi dan fungsional.,  ","5  hari lalu
"
29,*********969,5,"Celana kargo yang trendi dan fungsional., Bagus untuk aktivitas di luar ruangan.,  ",11 Des 2023
30,Azmys,5,aku suka bget.kainnya lembut warnanya cantik2. ,30 Des 2023
31,Ibu E.,5,"sesuai gambar 
tpi lum dicoba muat apa ga
mksih 

kurir baru ",25 Okt 2023
32,0***1,5,bahan oke lembut pas anak saya ,26 Des 2023
33,8***7,5,"Pas sempurna dengan desain high waist., Celana kargo yang trendi dan fungsional.,  ","4  minggu lalu
"
34,Denaya F.,5,celananya bagus meskipun kegedean  ,23 Nov 2023
35,*********649,5,baguss barang sesuai respons penjual cepatt dan barangnya orii juga terimakasih 🌷🌷 ,21 Des 2023
36,*********649,5,baguss barang sesuai respons penjual cepatt dan barangnya orii juga terimakasih 🌷🌷 ,21 Des 2023
37,Suha S.,5,sesuai pesanan bagusss  ,28 Des 2023
38,ASEP S.,5,"realpic cuman kegedean Bagus untuk aktivitas di luar ruangan.,  ",15 Des 2023
39,Siti N.,5,"Celana kargo yang stylish dan modis., Beragam pilihan warna yang dapat dipilih., Mudah dipadukan dengan berbagai outfit.,  ","3  hari lalu
"
40,0***0,5,bgus celana sya suka,"1  minggu lalu
"
41,Third-Party-User,5,"celanay bagus banget sesuai bahan lembut amah tokohy lancar trus langganan kta
 ",15 Des 2023
42,8***0,5,baguss bhn adem ,06 Des 2023
43,ina P.,5,barang ok ....semoga awet👍 ,"1  minggu lalu
"
44,Roswitha Y.,5,"Bahan:mntap karet
 Ukuran:pas
 Rancangan:pas ok ","3  hari lalu
"
45,Warno 0.,5,klo yg army pas ukuran mau pun desain.y mksih ,08 Jan 2024
46,SANTIAH D.,5,pas ok thank  ,"19 jam lalu
"
47,8***0,5,"Rancangan:tipis
 Ukuran:gede bngt
 Bahan:tipis
bagus tapi tipis kegedean jga busettt ",01 Jan 2024
48,Tiara P.,5,bahan nya halus dingin sedikit kekecilan buat aku padahal bb 55 tpi kekecilan tpi baguss ,25 Des 2023
49,Neng R.,5,bagus bngt yebellll ,20 Des 2023
0,anita P.,5,bagus sesuai pesanan  ,21 Okt 2023
1,*********223,5,bagus banget suka dehh jdi langganan disini pokok nya the best ,18 Des 2023
2,anita P.,5,Bagus sesuai pesanan  ,21 Okt 2023
3,Saya N.,5,celananya bagus pelangganku suka🥰 ,24 Okt 2023
4,Mamah N.,5,"Celana kargo serbaguna untuk berbagai acara., Mudah dipadukan dengan berbagai outfit.,  ",21 Des 2023
5,c***.,5,"bagus banget celanaya
 Bahan:nya lembut
 Ukuran:pas
 Rancangan:nenx bakalan order warna lain👍👍 ",25 Okt 2023
6,Siti R.,5,"Beragam pilihan warna yang dapat dipilih., Mudah dipadukan dengan berbagai outfit., Celana kargo yang stylish dan modis., Celana kargo yang trendi dan fungsional., Celana kargo serbaguna untuk berbagai acara.,  ","2  minggu lalu
"
7,Sandy A.,5,"Bagus untuk aktivitas di luar ruangan., Kain nyaman dan bernapas.,  ","1  hari lalu
"
8,Cut N.,5,sumpah bagus banget ,"2  minggu lalu
"
9,desi,5,"calana cargo nya sangat bangua
 Bahan:lenbut enak di pakei 
 Ukuran:jumbo  
  cocok banget ","1  minggu lalu
"
10,meisarisuherlan,5,"Bahan:lembut
 Ukuran:standar
 ",13 Jan 2024
11,Ochi,5,"sipp ,,cuman kebesara di aku ,, oerder lagi ahh ",09 Jan 2024
12,Lia S.,5,"Celana kargo yang trendi dan fungsional., Mudah dipadukan dengan berbagai outfit., Beragam pilihan warna yang dapat dipilih., Celana kargo yang stylish dan modis.,  ",08 Des 2023
13,Warno 0.,5,bagus bngt ,13 Jan 2024
14,cndyfnksri,5,realpictttt ,25 Des 2023
15,Azmys,5,bgus bget. ,30 Des 2023
16,Ila P.,5,TIDAK sesuai ,14 Des 2023
17,Dedeh W.,5,"Celana kargo yang trendi dan fungsional., Celana kargo yang stylish dan modis., Kain nyaman dan bernapas., Celana kargo serbaguna untuk berbagai acara.,  ",25 Des 2023
18,0***1,5,"Bagus untuk aktivitas di luar ruangan., Desain highwaist sedang trendi.,  ","3  hari lalu
"
19,Rayen A.,5,lumayan lah ,01 Des 2023
20,*********824,5,"Kain nyaman dan bernapas.,  ",11 Jan 2024
21,Zia S.,5,"baguss tpi sayang ga tercantum ukurannya jdi kegedean and ga kepake syg bngtt, kalo dibilang agak kecewa sih tpi gpp bagus bingit ko clana nya  ","1  minggu lalu
"
22,Lista F.,5,lmyan bagus sesuai dngn harga anak aq suka.. mau di pake buat jln² ,28 Des 2023
23,anita P.,5,"Bahan yang tahan lama untuk penggunaan jangka panjang., Beragam pilihan warna yang dapat dipilih., Desain highwaist sedang trendi., Kain nyaman dan bernapas.,  ",09 Des 2023
24,8***0,5,"Bagus, bahanya juga adem banget nyaman di pakai. ukurannya pas  ",23 Des 2023
25,Erna R.,5,makasih y kk,09 Nov 2023
26,Nurr,5,Bahan:bagusss ,"2  minggu lalu
"
27,Risma P.,5,"Desain highwaist sedang trendi., Mudah dipadukan dengan berbagai outfit., Celana kargo yang stylish dan modis.,  ",30 Des 2023
28,Armi A.,5,"bagus dan sesuai dengan foto
 Bahan:bagus
 Ukuran:sesuai badan kita
 ",30 Okt 2023
29,desi,5,"celana cargo nya sangat bangus 
 Bahan:lembut banget 
 Ukuran:jumbo 
           sayah sangat suka  ","1  minggu lalu
"
30,8***9,5,"celananya pas,saya syuka sekali,cuma pengirimannya lama.. ",01 Jan 2024
31,Y***.,5,"baguus,bagan lembut,tidak terlalu tebal, tidak terawang, kualitas baik, dan untuk aku bb 58 tinggi 163, ada karet nya juga jadi nyaman ",18 Des 2023
32,Cecep S.,5,"Bahan:lembut
 Ukuran:trlalu ngetat di badan aku😅
 ",24 Nov 2023
33,K***m,5,Alhamdulillah dgn harga segitu bagus bangt mnurt aku real pick pokonya ttp jga ke amanahannya...makasih semuanya ,20 Des 2023
34,Afyulida R.,5,"Celana kargo serbaguna untuk berbagai acara., Bagus untuk aktivitas di luar ruangan.,  ",02 Des 2023
35,Ami L.,5,kekecilan  ,21 Okt 2023
36,8***0,5,"Bahan:bagus bangat aku suka
 Ukuran:pas di badan aku pokoknya bagus
 ",04 Des 2023
37,A***.,5,bagus bgt cmn ukuran XL kebesaran di perut aku yg kecil 😂 ,"2  minggu lalu
"
38,*********172,5,aku suka bngat sama celananya......bahannya lmbut dan nyam digunakan🙏 ,08 Nov 2023
39,Third-Party-User,5,tdk sesui sngt buruk ,30 Nov 2023
40,M A.,5,"gak sesuai celananya
 ",04 Des 2023
41,0***1,5,"Bagus untuk aktivitas di luar ruangan.,  ",14 Des 2023
42,Irna T.,5,sesuai semoga cocok😍☺ ,11 Des 2023
43,*********601,5,"alhamdulilah bagus banget, Bahn adem, enk dipake, mksih semuanya, 🥰🥰 ",21 Des 2023
44,Santi,5,"Bagus untuk aktivitas di luar ruangan., sesuai bngtt celana nya,makasihhh☺️ ",08 Jan 2024
45,R***.,5,bagus banget kainnya melar ,16 Jan 2024
46,Mira R.,5,"Bagus, lembuuut, harga muraaaah kualitas baguuuuuuuus👍🏻👍🏻👍🏻👍🏻👍🏻 ",06 Jan 2024
47,Ani M.,5,Alhamdulillah bagus dan gk mengecewakan semoga tokoh ini selalu amanah aaamiiiin ,01 Jan 2024
48,Al-habsyi,5,bagus sekali sesuai dengan harga. bahan sesuai dengan harga  ,18 Des 2023
49,Fitri S.,5,baguss tapi sayang nya kepanjangan di saya😓😓 ,27 Des 2023
0,*********654,5,bagus celananya cuma dipaha aga kekecilan dikit apa paha aku yg terlalu gemoy😁 ,28 Nov 2023
1,*********649,5,baguss barang sesuai respons penjual cepatt dan barangnya orii juga terimakasih 🌷🌷 ,21 Des 2023
2,8***9,5,"Kain nyaman dan bernapas., Mudah dipadukan dengan berbagai outfit., Celana kargo yang trendi dan fungsional., Desain highwaist sedang trendi.,  ",04 Des 2023
3,8***5,5,"Kain nyaman dan bernapas.,  ","2  hari lalu
"
4,r***.,5,"yg satu ngga sesuai pesanan 🤭
pesen 2 size yg berbeda tapi pas datang sama aja size-nya 🙃 ",01 Des 2023
5,Reni,5,sangat kecewa  bahan gak sesuai trus sobek sobek,23 Des 2023
6,dewi Z.,5,"Bahan:bahan tebel dan jatuh
 Ukuran:sesuai 
 Rancangan:lumayan  ",23 Nov 2023
7,guest,5,"Alhamdulillah barang Nya sudah sampai,,,,Bagus terimakasih lazada ",02 Des 2023
8,nunung D.,5,"Beragam pilihan warna yang dapat dipilih., Mudah dipadukan dengan berbagai outfit.,  ","2  minggu lalu
"
9,Sonia,5,"sesuai gmbar. 
cma yg army GK pke resleting SM kangcing. 
beda SM yg hitam pake resleting.
tpi ttp sesuai gmbar.
kerenlh pokok nya.👍 ",25 Okt 2023
10,guest,5,celanax keren pokokx suka dehhh asli bgus kainx nyaman d pke  ,19 Des 2023
11,*********155,5,gak sesuai dengan gambar sangat tipis ,12 Jan 2024
12,Uci,5,"Celana kargo serbaguna untuk berbagai acara.,  ",04 Jan 2024
13,Sintia J.,5,sukak sama celananya anjayyy bagusss bangett kyuttt imut lucu kata aku haha ,15 Des 2023
14,d***.,5,baguss rekomen gais ,13 Jan 2024
15,g***t,5,"Desain highwaist sedang trendi., Desain highwaist sedang trendi., Celana kargo yang stylish dan modis.,  ",27 Des 2023
16,0***8,5,bahannya jatuh bgttttt sukakkkkkkk,08 Des 2023
17,*********030,5,makasih lazada celananya bagus g kecewa beli di toko ini toko nya sudah amanah bisa buat langanan ,"4  minggu lalu
"
18,8***7,5,"Bahan:bahan nya tipis tapi ngga nerawang karena warna gelap 
 Ukuran:kebesaran banget harus tambah Keret pinggang nya
 Rancangan:bagus  ",27 Des 2023
19,SITI W.,5,"Mudah dipadukan dengan berbagai outfit., Bagus untuk aktivitas di luar ruangan.,  ","1  minggu lalu
"
20,*********068,5,"Bahan:lumayan bagus
 Ukuran:sesuai/pas
 Rancangan:bagus ",18 Des 2023
21,Andra V.,5,asli longgar banget😁😁😁😁😁 ,"7  hari lalu
"
22,Andra V.,5,bagus banget😀😀😀😀😀😀 ,"7  hari lalu
"
23,Nur H.,5,"Celana kargo yang stylish dan modis., Celana kargo yang stylish dan modis., ","2  minggu lalu
"
24,8***.,5,jahitanya rapih cuman bahannya tipis ,"3  minggu lalu
"
25,Sumiyati S.,5,mantulll ,"2  minggu lalu
"
26,*********061,5,bagus... ,30 Des 2023
27,Deliyanti,5,okeeeeee ,21 Okt 2023
28,Uminya A.,5,wow keren,02 Des 2023
29,niaaaa,5,real👍🥰 ,10 Nov 2023
30,I***.,4,,"2  minggu lalu
"
31,Third-Party-User,5,"bagus bangett woyyy wajib beli sih ini, dengan harga yang  semurah itu menurutku kaya bahan cringcle enakk bangett dipake mau nangis bagus soalnya  ",04 Okt 2023
32,t***i,5,cakep banget pas di bb aku 61 nyesel beli 1😢 ,07 Jan 2024
33,Rabbani M.,5,lumayan ,08 Des 2023
34,Azmys,5,kereng. ,30 Des 2023
35,S***.,5,"bagus,, ",07 Des 2023
36,Rimbayani,5,lumayan ,31 Okt 2023
37,Warno 0.,5,pik bnt ,13 Jan 2024
